packed_designation,a_au,Nopp
K02PH1A,44.7051241,4
K02PH1C,45.1067272,4
K02TU1H,39.5535748,5
K02VD0E,44.5850114,5
K02VD0F,45.8881716,5
K02VD0V,42.5542633,6
K02VD0X,39.6353224,5
K02VD1B,43.3874517,6
K02VD1D,45.4061447,5
K02VD1F,44.1406596,4
K02VD8D,39.6568121,6
K02W21L,43.0741527,6
K02X91E,46.019123,10
K03FC7J,44.6465933,3
K03FC7L,39.0747155,6
K03FC7M,43.6419049,4
K03FC8D,38.0862751,6
K03FC9H,70.0633313,5
K03FC9Z,61.4092374,8
K03FD0A,42.434266,5
K03G55F,45.3640654,4
K03H56X,46.999766,5
K03H56Z,43.4385562,4
K03H57A,39.3472462,5
K03H57F,39.2361158,6
K03H57H,43.8351789,6
K03H57M,42.5327626,8
K03H57O,46.1461291,3
K03K20O,43.828383,4
K03L07A,76.8016533,5
K03L09D,47.3313156,5
K03Q90T,44.2572131,4
K03Q90X,44.1273049,5
K03Q90Y,43.1037547,8
K03Q91D,43.6312523,3
K03Q91E,43.3519282,5
K03Q91F,43.3227916,4
K03Q91G,42.8693172,6
K03Q91J,44.6407629,4
K03Q91L,43.408304,6
